student_id,attendance_rate,assignment_score,quiz_score,project_score,practice_hours,ai_tool_usage_frequency,previous_it_experience,final_result,risk_level
S0001,0.857,64.8,86.5,67.4,52.7,3,0,70.5,medium
S0002,0.695,63.5,35.9,49.6,36.3,0,0,48.9,high
S0003,0.91,77.0,59.7,73.1,64.1,3,0,67.5,medium
S0004,0.933,76.5,57.9,72.7,35.6,2,0,66.1,medium
S0005,0.586,67.7,65.6,61.9,35.5,2,1,57.8,high
S0006,0.664,72.6,60.0,69.4,53.1,4,0,65.0,medium
S0007,0.835,71.8,87.6,65.6,56.4,3,0,75.1,low
S0008,0.782,76.7,80.4,74.5,51.7,4,0,71.9,medium
S0009,0.818,73.7,70.9,69.0,19.7,4,0,67.0,medium
S0010,0.718,54.5,64.3,62.0,53.1,0,0,65.3,medium
S0011,0.926,59.9,82.7,74.0,29.5,1,1,69.3,medium
S0012,0.913,88.1,62.3,74.0,48.5,3,0,76.9,low
S0013,0.828,79.6,87.3,82.0,23.6,5,1,84.4,low
S0014,0.955,64.7,68.5,100.0,51.7,0,1,81.7,low
S0015,0.876,58.4,75.6,74.0,32.9,0,0,64.4,medium
S0016,0.717,70.7,77.2,71.8,25.8,5,0,72.0,low
S0017,0.864,71.1,76.4,100.0,55.7,5,0,79.1,low
S0018,0.705,67.2,70.2,76.9,48.6,1,1,79.2,low
S0019,0.925,84.0,74.8,74.3,35.8,2,0,73.0,low
S0020,0.814,71.2,47.4,88.0,66.8,3,1,68.8,medium
S0021,0.798,66.3,77.9,65.2,38.4,1,1,65.7,medium
S0022,0.738,75.2,71.8,69.1,45.5,1,1,67.4,medium
S0023,0.967,77.7,73.2,69.3,49.0,2,0,77.3,low
S0024,0.801,81.0,84.5,81.8,35.7,3,1,89.5,low
S0025,0.769,74.5,64.5,63.9,52.1,1,0,66.3,medium
S0026,0.778,66.3,50.6,65.5,37.0,2,0,58.1,high
S0027,0.884,72.7,66.1,77.6,38.8,1,0,66.3,medium
S0028,0.864,81.9,85.3,92.2,65.4,4,1,86.1,low
S0029,0.87,65.3,66.1,63.2,29.4,0,0,63.7,medium
S0030,0.872,73.4,74.3,66.3,8.8,1,1,68.8,medium
S0031,1.0,79.7,90.0,87.7,69.2,1,0,86.1,low
S0032,0.771,92.4,71.7,91.7,83.2,5,1,88.1,low
S0033,0.759,72.4,68.9,52.4,38.9,5,0,64.5,medium
S0034,0.722,60.0,75.0,56.7,15.9,3,0,61.5,medium
S0035,0.894,69.4,56.7,79.0,40.3,0,1,66.7,medium
S0036,0.955,74.7,76.2,81.0,40.7,4,0,79.6,low
S0037,0.806,66.0,59.3,74.5,42.2,2,0,67.7,medium
S0038,0.719,65.4,59.0,66.0,28.3,5,0,66.7,medium
S0039,0.721,86.9,53.9,70.1,53.7,2,0,74.3,low
S0040,0.898,69.5,72.7,75.3,52.9,5,0,68.4,medium
S0041,0.909,73.4,91.2,63.1,22.6,4,0,69.4,medium
S0042,0.885,81.3,55.5,68.3,55.5,1,0,67.4,medium
S0043,0.74,82.2,67.2,81.4,75.8,4,1,75.0,low
